backgroundColor,beanId,colorGroup,description,flavorName,glutenFree,groupName,imageUrl,ingredients,kosher,seasonal,sugarFree
#CEDC91,1,khaki,The Refreshing And Crisp Flavor Of Lemon Lime Soda.,7Up,False,"['Jelly Belly Official Flavors', 'Soda Pop Shoppe® Flavors']",https://cdn-tp1.mozu.com/9046-m1/cms/files/ab692677-5471-4863-91a8-659363ae4cc4,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Citric Acid', 'Sodium Lactate', 'Natural & Artificial Flavor', 'Color Added', 'Yellow 5', 'Blue 1', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze""]",True,False,False
#E1DFE1,2,gainsboro,A Deliciously Creamy Take On The Classic Vanilla Flavor.,A&W® Cream Soda,False,"['Jelly Belly Official Flavors', 'Soda Pop Shoppe® Flavors']",https://cdn-tp1.mozu.com/9046-m1/cms/files/75fea694-ed38-4e84-a86e-182e31ea5a7b,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Natural And Artificial Flavors', 'Color Added', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#792E27,3,saddlebrown,Say 'Cheers' With The Flavor Of This All-American Classic Drink.,A&W® Root Beer,False,"['Jelly Belly Official Flavors', 'Soda Pop Shoppe® Flavors']",https://cdn-tp1.mozu.com/9046-m1/cms/files/63b9e71d-9866-4044-9af7-7a64a52b0e0e,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Natural & Artificial Flavors', 'Color Added', 'Vegetable & Fruit Juice (Color)', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#5B3640,4,darkslategray,Hard To Pronounce But A Delight To Enjoy. A Super Sweet And Rich Berry Taste Unlike Any Other.,Acai Berry,False,['Superfruit Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/6f0c6164-71c8-47f6-a55f-893f5fd58fa0,"['Cane Sugar', 'Tapioca Syrup', 'Modified Food Starch', 'Sour Cherry Juice From Concentrate', 'Blueberry Juice From Blueberry Puree', 'Pomegranate Juice From Concentrate', 'Acai Puree', 'Natural Flavors', 'Acerola (Barbados) Cherry Juice', 'Cranberry Puree', 'Citric Acid', 'Apple (Color)', ""Confectioner'S Glaze"", 'Beeswax', 'Grape Concentrate (Color)', 'Carrot (Color)', 'Carnauba Wax', 'Black Currant (Color)', 'Hibiscus (Color)', 'Color Added.']",True,False,False
#F0C57F,5,burlywood,"A Creamy Combination Of French Vanilla, Apple Pie, And Caramel Flavors Adds A Sweet Twist To The Classic American Dessert.",Apple Pie A La Cold Stone®,False,['Cold Stone® Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/81f5ecb8-250b-403f-a1bf-89fb6e47dd0d,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Strawberry Puree', 'Chocolate Liquor', 'Cocoa Butter', 'Cocoa Powder', 'Citric Acid', 'Ground Cinnamon', 'Tapioca Dextrin', 'Natural And Artificial Flavor', 'Color Added', 'Red 40 Lake', 'Yellow 5 & 6 Lake', 'Red 40', 'Blue 1 & 2 Lake', 'Blue 1', 'Yellow 5', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze"", 'Salt.']",True,False,False
#E798AB,6,lightpink,A Sweet Cherry Flavor With Just A Hint Of Tartness.,Barbados Cherry,False,['Superfruit Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/168244d0-b3ba-4725-a2d9-5083b362d10a,"['Cane Sugar', 'Tapioca Syrup', 'Modified Food Starch', 'Sour Cherry Juice From Concentrate', 'Blueberry Juice From Blueberry Puree', 'Pomegranate Juice From Concentrate', 'Acai Puree', 'Natural Flavors', 'Acerola (Barbados) Cherry Juice', 'Cranberry Puree', 'Citric Acid', 'Apple (Color)', ""Confectioner'S Glaze"", 'Beeswax', 'Grape Concentrate (Color)', 'Carrot (Color)', 'Carnauba Wax', 'Black Currant (Color)', 'Hibiscus (Color)', 'Color Added.']",True,False,False
#3A7195,7,steelblue,Enjoy The Taste Of Fresh-Picked Blueberries. Deliciously Flavored With Real Blueberry Puree.,Blueberry,False,['Jelly Belly Official Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/a8f085b5-b4ff-4aca-8650-43ad54c80fe4,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Blueberry Juice From Puree', 'Contains 2% Or Less Of The Following:', 'Citric Acid', 'Natural & Artificial Flavor', 'Color Added', 'Blue 1 Lake', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#E3ACBD,8,lightpink,This Bean Has Everything But The Bubble! Taking A Trip Down Memory Lane Has Never Tasted So Good.,Bubble Gum,False,"['Jelly Belly Official Flavors', 'Kids Mix Flavors']",https://cdn-tp1.mozu.com/9046-m1/cms/files/51474130-73e9-40b7-a8ba-c9eac7be7de4,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Artificial Flavor', 'Color Added', 'Red 40 Lake', 'Red 40', 'Yellow 5 Lake', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#F6D334,9,gold,Now You Can Enjoy Buttery Perfection Without Having To Go To The Movies.,Buttered Popcorn,False,"['Jelly Belly Official Flavors', 'Kids Mix Flavors']",https://cdn-tp1.mozu.com/9046-m1/cms/files/61207309-fffb-443a-b735-b9a5a6374c8d,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Natural And Artificial Flavors', 'Color Added', 'Yellow 5', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze"", 'Salt.']",True,False,False
#FAA538,10,goldenrod,This Sweet Summertime Favorite Is Always In Season.,Cantaloupe,False,"['Jelly Belly Official Flavors', 'Tropical Mix Flavors']",https://cdn-tp1.mozu.com/9046-m1/cms/files/45d0972c-e554-4374-8b21-ac50ff450d3e,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Cantaloupe Juice From Cantaloupe Powder', 'Contains 2% Or Less Of The Following:', 'Natural And Artificial Flavors', 'Color Added', 'Yellow 6 Lake', 'Yellow 6', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#5A262A,11,saddlebrown,The Rich And Creamy Taste Of Cappuccino. So 'Delicioso' Because Each Is Flavored With Real Coffee.,Cappuccino,False,['Jelly Belly Official Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/ca2fe8be-4c41-4e83-81df-cf3b093f5a42,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Natural And Artificial Flavors', 'Coffee', 'Color Added', 'Vegetable And Fruit Juice (Color)', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#F0C57F,12,burlywood,A Partnership Made In Heaven. Sweet Caramel And Buttery Popcorn.,Caramel Corn,False,['Jelly Belly Official Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/aff9adae-5dde-4e5b-b718-a68d7ed8edf2,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Natural And Artificial Flavors', 'Color Added', 'Yellow 6', 'Yellow 5 & 6 Lake', 'Blue 2 Lake', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze"", 'Salt.']",True,False,False
#3A7195,13,steelblue,Enjoy The Taste Of Fresh-Picked Blueberries. Deliciously Flavored With Real Blueberry Puree.,Blueberry,False,"['Superfruit Flavors', 'Kids Mix Flavors']",https://cdn-tp1.mozu.com/9046-m1/cms/files/4ee93e6c-c132-47ab-a748-b9663251b14e,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Blueberry Juice From Puree', 'Contains 2% Or Less Of The Following:', 'Citric Acid', 'Natural & Artificial Flavor', 'Color Added', 'Blue 1 Lake', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#792E27,14,saddlebrown,Rich Chocolate Taste That Will Bring You To Your Happy Place. Flavored With Real Cocoa Powder For An Indulgent Treat.,Chocolate Devotion®,False,['Cold Stone® Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/f7cc6aee-9e70-466f-8d5a-a173b4a42275,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Strawberry Puree', 'Chocolate Liquor', 'Cocoa Butter', 'Cocoa Powder', 'Citric Acid', 'Ground Cinnamon', 'Tapioca Dextrin', 'Natural And Artificial Flavor', 'Color Added', 'Red 40 Lake', 'Yellow 5 & 6 Lake', 'Red 40', 'Blue 1 & 2 Lake', 'Blue 1', 'Yellow 5', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze"", 'Salt.']",True,False,False
#402427,15,darkslategray,"A Creamy, Chocolatey Tasting Delight Flavored With Real Cocoa Powder. No Spoon Required.",Chocolate Pudding,False,['Jelly Belly Official Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/63b9e71d-9866-4044-9af7-7a64a52b0e0e,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Cocoa Powder', 'Chocolate Liquor', 'Cocoa Butter', 'Natural And Artificial Flavor', 'Color Added', 'Red 40 Lake', 'Yellow 5 Lake', 'Blue 2 Lake', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#DD4B62,16,indianred,The Perfect Combination Of Sugar And Spice. These Beans Have Just The Right Amount Of Cinnamon To Make Them A Sweet Treat For All.,Cinnamon,False,['Jelly Belly Official Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/18e50750-75eb-4f26-b8ed-1c01db69f3d3,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Artificial Flavor', 'Color Added', 'Red 40', 'Red 40 Lake', 'Turmeric (Color)', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#ba815c,17,peru,The Perfect Combination Of A Classic Glazed Donut And Sweet Apple Filling. Flavored With Real Apple Juice.,Cinnamon Apple Filled,False,['Krispy Kreme® Doughnuts Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/1477c8aa-1320-45a1-b5a0-2fe90bdcc7f3,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Apple Juice Concentrate', 'Citric Acid', 'Cocoa Powder', 'Natural & Artificial Flavors', 'Color Added', 'Red 40 Lake', 'Yellow 5 & 6 Lake', 'Blue 1 & 2 Lake', 'Red 40', 'Vegetable And Fruit Juice (Color)', 'Tapioca Dextrin', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze"", 'Ground Cinnamon', 'Salt.']",True,False,False
#E1DFE1,18,gainsboro,Take A Quick Trip To The Tropics With The Taste Of Real Coconut.,Coconut,False,"['Jelly Belly Official Flavors', 'Tropical Mix Flavors']",https://cdn-tp1.mozu.com/9046-m1/cms/files/ad4638c8-b778-4248-afca-7c3051c8f92f,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Coconut', 'Artificial Flavor', 'Color Added', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#E19E9F,19,tan,A Sweet Taste From Your Childhood That Will Bring A Smile To Your Face.,Cotton Candy,False,"['Jelly Belly Official Flavors', 'Kids Mix Flavors']",https://cdn-tp1.mozu.com/9046-m1/cms/files/0066a0a9-88cc-4b1f-bacc-5db4fffdbc38,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Citric Acid', 'Natural And Artificial Flavor', 'Color Added', 'Red 40', 'Beeswax', 'Carnauba Wax', ""Confectioner'S Glaze.""]",True,False,False
#871922,20,brown,Not Too Tart And Not Too Sweet. This Berry Flavor Definitely Has The Perfect Balance.,Cranberry,False,['Superfruit Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/c2909d75-8d0c-4629-b086-8ad2b43b3ac7,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Cranberry Puree', 'Natural Flavor', 'Color Added', 'Red 40 Lake', 'Blue 2 Lake', 'Turmeric (Color)', 'Citric Acid', ""Confectioner'S Glaze"", 'Beeswax', 'Carnauba Wax.']",True,False,False
#DD4B62,21,indianred,This Delicious Berry Flavor From Snapple® Packed Into A Jelly Bean For A Sweet Treat.,Cranberry Raspberry,False,['Snapple® Mix Flavors'],https://cdn-tp1.mozu.com/9046-m1/cms/files/3100bc6f-a543-4795-8acb-0d1bfe76a188,"['Sugar', 'Corn Syrup', 'Modified Food Starch', 'Contains 2% Or Less Of The Following:', 'Cranberry Puree', 'Raspberry Puree', 'Grape Juice Concentrate', 'Mango Juice Concentrate', 'Strawberry Juice Concentrate', 'Kiwi Juice Concentrate', 'Lemon Puree', 'Cherry Juice Concentrate', 'Cranberry Juice Concentrate', 'Natural Flavors', 'Citric Acid', 'Color Added', 'Grape Concentrate (Color)', 'Turmeric (Color)', 'Apple (Color)', 'Hibiscus (Color)', 'Black Currant (Color)', 'Carrot (Color)', ""Confectioner'S Glaze"", 'Beeswax', 'Carnauba Wax.']",True,False,False
