description,factId,title
"Very Cherry has been the most popular Jelly Belly flavor for many years, only briefly surpassed by Buttered Popcorn in 1998.",1,Popularity of Flavors
"Each bean contains only 4 calories, meaning that a handful of 25 beans amounts to 100 calories.",2,Caloric Content
"The company, initially known for producing candy corn, was established around 1898 as the Goelitz Confectionery Company.",3,Company Origins
"It takes 7 to 21 days to make a single jelly bean, involving a complex and multi-step process.",4,Production Time
"The founder of Jelly Belly, David Klein, was also notable for creating a new type of jelly bean with flavored insides and outer shells, using unconventional flavors like watermelon, licorice, and root beer.",5,Early Connections
The origin of jelly beans may be traced back to Turkish Delights from Turkey.,6,Inspiration
"Jelly Belly beans are known for their flavored centers and shells, smaller size, more intense flavor, and exotic flavors.",7,Unique Features
"Jelly Belly beans were the first jelly beans in space, sent on the 1983 Challenger mission as a surprise for astronauts by President Reagan.",8,Astronaut Snack
The term 'jelly-bean' was used in the 1910s and 1920s as slang for a stylish but otherwise unremarkable man.,9,Historical Slang
"The company has evolved from its original eight flavors in 1976 to more than 100 over the years. Current popular flavors include Buttered Popcorn, Very Cherry, Cotton Candy, Watermelon, and Green Apple.",10,Flavor Evolution
"In 2001, the company officially became the Jelly Belly Candy Company, reflecting its most popular product.",11,Company Name Change
The chairman of Jelly Belly came under fire in 2013 for donating to an anti-transgender rights fund.,12,Controversy
"Jelly Belly introduced Sport Beans for athletes, filled with carbohydrates, electrolytes, and vitamins. However, they faced a lawsuit over labeling sugar as 'evaporated cane juice'.",13,Sport Beans
"In 2014, Jelly Belly released beer-flavored beans, which sparked controversy among parents concerned about encouraging underage drinking.",14,Beer-Flavored Beans
"The company offers official jelly bean 'recipes,' combining different flavors to create new tastes like tres leches cake or a tequila sunrise.",15,Recipe Combinations
"In 2020, the original Mr. Jelly Belly started a treasure hunt similar to Willy Wonka, offering a chance to win a candy factory.",16,Willy Wonka-Esque Treasure Hunt
Jelly Belly also produces a line of custom air fresheners in various jelly bean scents.,17,Air Fresheners
Jelly Belly beans have a shelf life of one year.,18,Shelf Life
"The BeanBoozled line features pairs of jelly beans with one delicious and one disgusting flavor, challenging consumers to distinguish between them.",19,BeanBoozled Challenge
"'Belly Flops,' imperfectly shaped jelly beans, are sold at a lower price but taste the same as regular beans.",20,Cost-Effective Option
It takes 7 to 14 days to make a Jelly Belly bean.,21,Production Time
"Jelly Belly's California and Wisconsin locations attract about 600,000 visitors each year for tours.",22,Visitor Numbers
"Public tours are available at two locations: Fairfield, California (factory tour) and Pleasant Prairie, Wisconsin (warehouse tour and train ride).",23,Tour Locations
"Jelly Belly offers 50 official flavors and 66 additional flavors, including rookie, sour, sugar-free, and unique options.",24,Total Number of Flavors
"In addition to jelly beans, Jelly Belly Candy Company produces 74 other gourmet confections.",25,Other Products
The BeanBoozled line features 20 flavors - 10 pleasant and 10 gag-inducing.,26,BeanBoozled Line
Jelly Belly beans eaten in a year could circle the earth five times.,27,Global Consumption
"Jelly Belly beans were sent on the 1983 space shuttle Challenger mission, making them the first jelly beans in space.",28,Space Adventure
Around 5 billion Jelly Belly beans are sold during Easter.,29,Easter Sales
Each Jelly Belly bean contains 4 calories.,30,Caloric Content
"Jelly Belly was the first company to add flavors to both the shell and the center of the bean, leading to their signature gourmet blends.",31,Double Flavoring
"The main ingredients are sugar, corn syrup, corn starch, and confectioner's glaze, with natural flavors incorporated when possible.",32,Basic Ingredients
"Jelly Belly's roots began with candy corn production by the Goelitz Confectionery Company, founded in 1869.",33,Candy Corn Origins
"The initial Jelly Belly flavors included root beer, green apple, licorice, cream soda, lemon, tangerine, very cherry, and grape.",34,Original Eight Flavors
"Jelly Belly is known for introducing unique flavors, including the BeanBoozled Fiery Five Challenge with varying levels of spiciness.",35,Novelty Flavors
"Over the years, some flavors have been discontinued, including caramel apple, grape jelly, and peanut butter.",36,Discontinued Flavors
"Jelly Belly provides seasonal assortments, like the spring mix for Easter and Monster Mash blend for Halloween.",37,Seasonal Offerings
"They have collaborated with brands like Dr. Pepper, A&W Root Beer, Snapple, Tabasco, Krispy Kreme, and Coldstone Creamery.",38,Brand Collaborations
"Jelly Belly beans are vegetarian but not vegan, as they contain beeswax and shellac. They are also dairy-free, gluten-free, and OU Kosher certified.",39,Dietary Information
"'Belly Flops' are imperfectly shaped beans sold at a lower price, and the company also offers a bargain outlet for out-of-season products.",40,Cost-Effective Options
Every Jelly Belly bean is marked with the world-famous Jelly Belly logo and has a distinctive shape.,41,Signature Design
The flavor in Jelly Belly beans is packed into both the chewy center and the polished shell.,42,Flavor Distribution
"In 2010, Jelly Belly set the Guinness World Record for the Largest Candy Art. The art piece made in China was 39 feet long and used approximately 617,000 Jelly Belly beans.",43,Guinness World Record
"Jelly Belly donated 288,000 beans in 47 flavors for the world’s first jelly bean stop-motion animation music video 'In Your Arms' by Kina Grannis, released in November 2011.",44,Stop-Motion Animation
"President Ronald Reagan was a well-known fan of Jelly Belly, often snacking on them during cabinet meetings.",45,Presidential Favorite
"Reagan's favorite Jelly Belly flavor was licorice, which may have been influenced by his attempt to quit pipe-smoking.",46,Reagan's Favorite Flavor
"Despite its focus on jelly beans, Jelly Belly still produces candy corn, a nod to its historical roots.",47,Candy Corn Legacy
"Jelly Belly offers a variety of other candies, including chewy fish, gummi bears, gumdrops, Jordan almonds, and even hot chocolate bombs.",48,Diverse Product Range
"Jelly Belly beans are used to enhance themed celebrations, such as weddings, baby showers, New Year's Eve, and federal holidays with specially curated assortments.",49,Themed Celebrations
"Jelly Belly offers special flavors and blends for various holidays, including Christmas, Valentine's Day, and Halloween.",50,Holiday Themes
Ronald Reagan famously used Jelly Belly beans to quit smoking and even had a portrait made from Jelly Belly beans at the Reagan Presidential Library.,51,Famous Fan
"Jelly Belly's range extends beyond jelly beans, including chewy fish, gummi bears, gumdrops, Jordan almonds, and hot chocolate bombs.",52,Confection Variety
The Jelly Belly Factory features an art gallery with jelly bean mosaics of famous artworks and celebrities.,53,Factory Art Gallery
Visitors on the Jelly Belly factory tour must wear silly sailor cap hats with the Jelly Belly logo.,54,Required Factory Tour Attire
"Jelly Belly holds the Guinness World Record for the largest candy art, a 59-foot long piece made with over 600,000 beans.",55,Candy Art Record
"Jelly Belly pioneered the concept of combining bean flavors to create new tastes, like Lemon + Cotton Candy = Pink Lemonade.",56,Innovative Recipes
"Easter is the biggest season for Jelly Belly consumption, followed by Christmas.",57,Easter Popularity
Each Jelly Belly jelly bean has only 4 calories.,58,Calorie Count
Jelly Belly gives tours on 722 days combined at their two locations.,59,Tour Days
"The BeanBoozled line features flavors like sriracha, jalapeño, cayenne, habañero, and Carolina Reaper.",60,BeanBoozled Variations
"Collaborations include Krispy Kreme, Fruit Loop, and 'unicorn mix' flavors.",61,Collaborative Flavors
"Jelly Belly offers vitamin, electrolyte, and carbohydrate-infused Sports Beans, even with caffeine.",62,Sport Beans
"Flavors like caramel apple, grape jelly, and peanut butter have been discontinued.",63,Discontinued Flavors
"The beans are vegetarian, dairy-free, gluten-free, and OU Kosher, but not vegan.",64,Dietary Information
"‘Belly Flops’ are irregular beans sold at a discount, and bulk buys are available at places like Costco.",65,Cost Savings
Reagan's fixation with Jelly Belly began as a way to overcome his pipe-smoking habit.,66,Presidential Affection
"Despite its jelly bean focus, Jelly Belly still produces candy corn.",67,Candy Corn Production
"Jelly Belly beans can be used for themed parties and events, offering a wide array of colors and flavors.",68,Themed Party Enhancements
Guests on factory tours can sample Jelly Belly jelly beans during their visit.,69,Visitor Sampling
"Since the 1800s, candy technology has evolved significantly, with Jelly Belly at the forefront of innovation in jelly bean production.",70,Candy Technology Advancements
People consume enough Jelly Belly beans annually to circle the globe more than five times.,71,Global Popularity
"In the early 20th century, 'jelly-bean' was slang for a stylish but superficial man.",72,Historical Slang Term
"Jelly Belly beans were a staple in the Reagan White House, and a blueberry flavor was created specifically for his 1980 inauguration.",73,Presidential Treat
"Jelly Belly expanded from eight original flavors in 1976 to over 100, including partnerships with brands for unique flavors.",74,Flavor Expansion
"In 2001, the Goelitz family companies merged to form the Jelly Belly Candy Company.",75,Company Renaming
Jelly Belly's chairman faced backlash for donating to an anti-transgender rights fund in 2013.,76,Controversy
"Jelly Belly faced a lawsuit over the marketing of Sport Beans, which are infused with vitamins and electrolytes.",77,Sport Beans Lawsuit
"The beans were sent to space on the 1983 Challenger mission, becoming the first jelly beans in space.",78,Jelly Belly in Space
"In 2014, Jelly Belly released beer-flavored beans, sparking controversy among parents.",79,Beer-Flavored Beans
"The company created a line called Recipe Mix, combining two flavors in one bean.",80,Recipe Mix Line
"Jelly Belly offers holiday-themed gift boxes with flavors like eggnog, candy cane, and pumpkin pie.",81,Variety in Gift Boxes
Jelly Belly has collaborated with clothing and fashion brands to create unique promotional items.,82,Clothing and Fashion Collaborations
The company has even partnered with Reebok for sneakers and Sally Hansen for candy-coated nail polish.,83,Sneaker and Nail Polish Collaborations
Jelly Belly Factory hosts an art gallery with jelly bean mosaics of celebrities and famous artworks.,84,Celebrity and Artistic Mosaics
The factory tour includes a requirement to wear Jelly Belly logo hats and offers fun photo opportunities.,85,Unique Factory Tour Features
"Jelly Belly beans do not use gelatin but include beeswax and shellac, making them non-vegan.",86,Animal Product Use
The brand offers Extreme Sports Beans containing caffeine for an energy boost.,87,Caffeinated Sports Beans
"Some BeanBoozled flavors, like toothpaste and liver and onions, are available for a limited time.",88,Limited Time Flavors
"Jelly Belly beans have a shelf life of one year, and consumers are advised to use their senses to determine if they have spoiled.",89,Shelf Life and Storage
A portrait of Ronald Reagan made entirely out of Jelly Belly beans is displayed at the Reagan Presidential Library.,90,Presidential Portrait
"Visitors to the Reagan Library can also see a vintage candy dish from Air Force One, typically filled with Jelly Belly beans.",91,Air Force One Candy Dish
"Jelly Belly offers sugar-free, zero-calorie sparkling water in fun flavors like orange sherbet.",92,Variety in Beverages
"For weddings, Jelly Belly offers a white and glamorous blend of flavors like cream soda, vanilla, and coconut.",93,Event-Themed Beans
